user,testType,position,trialNumber,correctAnswer,userAnswer,ansQualifier,value,reversal
Tysen,ILD,Back Right,4,2,2,1,0.5,1
Tysen,ILD,Back Right,5,1,2,0,0.25,2
Tysen,ILD,Back Right,6,2,2,1,0.5,3
Tysen,ILD,Back Right,7,1,1,1,0.5,3
Tysen,ILD,Back Right,8,2,2,1,0.25,3
Tysen,ILD,Back Right,9,2,1,0,0.25,4
Tysen,ILD,Back Right,10,2,2,1,0.5,5
Tysen,ILD,Back,1,2,2,1,1,0
Tysen,ILD,Back,2,2,2,1,1,0
Tysen,ILD,Back,3,2,2,1,0.5,0
Tysen,ILD,Back,4,2,2,1,0.5,0
Tysen,ILD,Back,5,2,2,1,0.25,0
Tysen,ILD,Back,6,1,2,0,0.25,1
Tysen,ILD,Back,7,2,2,1,0.5,2
Tysen,ILD,Back,8,2,2,1,0.5,2
Tysen,ILD,Back,9,2,2,1,0.25,2
Tysen,ILD,Back,10,2,2,1,0.25,2
Tysen,ILD,Back,11,1,2,0,0.125,3
Tysen,ILD,Back,12,1,2,0,0.25,3
Tysen,ILD,Back,13,1,1,1,0.5,4
Tysen,ILD,Back,14,1,1,1,0.5,4
Tysen,ILD,Back,15,1,1,1,0.25,4
Tysen,ILD,Back,16,2,1,0,0.25,5
